"","sample","tissue","endometriosis","severity","p202618_s_at","p202617_s_at","MECP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,6.181747,6.202941
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.258515,5.458902,5.8587085
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.698512,5.104399,5.4014555
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.089296,5.987621,6.0384585
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.083596,6.999255,6.5414255
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.502923,5.887568,6.1952455
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,5.041425,5.63278
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.977499,6.455871,6.216685
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.869492,6.88446,6.376976
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25669,4.99042,5.623555
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.115296,5.599791,5.8575435
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,6.460899,6.342517
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.798482,5.541481,5.6699815
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.90804,6.25406,6.08105
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.831493,6.830181,6.330837
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.594456,5.763754,5.679105
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.830637,5.586959,5.708798
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.849384,5.487923,5.6686535
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224135,5.045637,5.634886
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.44789,5.563435,6.0056625
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.710115,6.27791,6.4940125
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.878015,6.06642,6.4722175
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.045556,6.567979,6.8067675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.173056,5.823284,6.49817
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.861493,6.299089,6.580291
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.905014,6.133088,7.019051
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.961364,6.242278,6.601821
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.845065,6.615351,6.730208
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.990275,6.27791,6.6340925
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.521092,6.692228,7.10666
