"","sample","tissue","endometriosis","severity","p200011_s_at","p200734_s_at","p211622_s_at","ARF3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.786653,8.092307,6.713256,8.19740533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.332404,8.38657,6.802207,8.173727
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.803459,8.618662,4.354546,7.59222233333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.010255,8.331986,6.288529,8.21025666666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.124123,8.462539,6.999097,8.52858633333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.399334,9.427766,6.967841,8.931647
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.218191,8.578921,6.32562,8.374244
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.838502,8.57407,6.170246,8.19427266666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.425042,7.888144,5.087109,7.466765
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.358969,9.112157,6.783167,8.751431
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.793477,9.031543,7.157123,8.66071433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.132135,8.829389,6.307581,8.423035
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.501596,8.530174,5.993637,8.008469
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.447984,9.572095,6.407007,8.80902866666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.09566,8.246858,5.981979,8.10816566666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.390954,9.191113,6.585502,8.722523
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.497154,8.753496,6.707378,8.652676
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.397929,9.037527,6.917953,8.78446966666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.121702,9.145673,6.190493,8.485956
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.788224,11.012295,8.66421,10.488243
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.509582,10.41942,7.810048,9.91301666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.173132,11.284124,9.348717,10.9353243333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.788636,11.622091,9.066,10.8255756666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.132029,11.472539,9.104872,10.9031466666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.293,11.340247,9.662147,11.0984646666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.220611,11.13644,8.734671,10.6972406666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.292355,11.976905,9.268552,10.8459373333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.870957,10.979972,9.116182,10.6557036666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.613671,10.809328,7.831654,10.0848843333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.038076,11.799654,9.282412,11.0400473333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.686232,11.12946,8.129948,10.3152133333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.200963,11.074317,9.303057,10.8594456666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.855626,12.011948,9.803915,11.2238296666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.884799,11.881516,9.879504,11.215273
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.564064,9.450418,4.938048,8.31751
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.88902,11.650845,7.935014,10.4916263333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.787482,11.151786,8.52177,10.4870126666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.202961,10.101608,7.317982,9.54085033333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.273514,11.310666,8.112662,10.2322806666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.067308,11.579274,9.246736,10.9644393333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.320082,10.832405,7.865253,10.0059133333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.379593,11.97493,10.017337,11.4572866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.201098,11.225488,7.069355,9.83198033333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.272836,10.071441,7.687749,9.677342
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.155255,11.499944,9.408509,11.021236
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.760753,11.189125,8.082945,10.010941
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.713647,11.967389,9.306824,10.9959533333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.237283,11.766785,9.177957,11.060675
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.644097,11.087431,8.692333,10.4746203333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.215676,11.377007,8.464073,10.352252
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.367937,11.497491,8.614356,10.4932613333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.222605,11.306866,8.586799,10.37209
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.313536,11.032501,8.104519,10.4835186666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.238662,11.170123,8.831237,10.746674
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.681737,10.823705,8.276051,10.2604976666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.215415,8.938413,5.743862,8.29923
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.492726,11.214488,8.542127,10.416447
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.568255,10.587483,8.515456,10.2237313333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.092438,9.700816,8.006428,9.599894
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.573459,10.464427,8.070235,10.0360403333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.394675,10.891326,8.778637,10.3548793333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.754367,10.630914,8.694639,10.3599733333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.695302,10.509631,8.209068,10.1380003333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.000809,10.285101,7.8351,9.70700333333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.786527,9.399205,7.229851,9.13852766666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.934684,10.506618,8.698558,10.3799533333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.667554,11.334122,9.171022,10.7242326666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.596174,9.451198,4.725324,7.924232
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.151792,9.49224,5.09896,8.247664
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.908132,9.006097,4.741362,7.885197
