"","sample","tissue","endometriosis","severity","p221542_s_at","p221543_s_at","ERLIN2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704178,8.212353,6.9582655
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.639584,7.596084,6.617834
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.704178,6.96439,6.334284
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704178,8.23765,6.970914
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.291026,7.582294,6.93666
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.420593,8.73119,7.5758915
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.037206,6.785735,6.4114705
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.96185,8.973621,7.9677355
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704178,8.581992,7.143085
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131294,8.766215,7.4487545
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.921559,8.71403,7.3177945
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.053767,8.963126,7.5084465
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.918246,8.329716,6.623981
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.710222,8.142539,6.9263805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.283715,8.447585,7.36565
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.20883,8.334244,7.771537
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.94225,8.676233,7.3092415
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.847082,8.544827,7.1959545
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.931979,8.254401,7.09319
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.193422,7.997622,6.595522
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.848485,7.571665,6.210075
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.988547,8.100348,6.5444475
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.90561,8.094492,6.000051
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.67499,7.485013,6.0800015
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,7.714972,5.810291
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.323945,7.26219,5.2930675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.63056,7.188563,5.4095615
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.23933,8.214795,6.7270625
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.864254,8.638986,5.75162
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.494432,7.519227,5.5068295
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.90561,8.179559,6.0425845
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.128982,8.12633,6.627656
