"","sample","tissue","endometriosis","severity","p243704_at","p219078_at","p236026_at","p239768_x_at","GPATCH2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.889,5.390541,3.461977,3.934251,4.16894225
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.831444,4.874336,3.209425,2.236067,3.537818
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.948963,4.946409,3.20147,2.471036,3.3919695
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,4.793086,2.86095,2.236067,3.426659
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822576,4.911364,2.591893,3.271917,3.6494375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.617892,5.308031,2.688365,2.471036,3.521331
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.399423,4.745204,2.839698,2.236067,3.305098
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.854474,4.793086,3.19615,2.236067,3.51994425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,5.220884,3.093347,2.500366,3.6577825
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,5.818114,3.391477,2.471036,3.87429
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.244644,5.61596,3.20147,4.169673,4.30793675
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.863576,5.09014,3.16549,3.12438,3.8108965
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822576,5.119207,2.688365,3.096968,3.681779
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.667979,5.603489,3.964999,3.109845,4.086578
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.854474,4.796324,3.416184,3.32599,3.848243
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822576,4.431436,2.928632,3.294805,3.61936225
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.898281,4.854355,3.0454,2.90249,3.6751315
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.970971,4.861076,2.584545,2.818933,3.55888125
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.074682,4.850547,3.135804,3.02705,3.77202075
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.948963,3.882964,3.610931,2.471036,3.2284735
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.822576,4.497364,3.563375,2.477943,3.5903145
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.948963,3.882964,3.443455,2.471036,3.1866045
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,4.745204,3.197018,2.471036,3.55744775
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.311212,3.672794,3.2288,2.489875,3.17567025
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.67395,4.338582,3.26321,2.236067,3.37795225
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.822576,3.230482,3.832677,2.776283,3.4155045
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.996995,4.170477,3.20147,2.471036,3.2099945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.817614,4.933439,4.314195,2.90249,3.9919345
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.948963,4.033603,3.905142,2.471036,3.339686
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.816533,3.838586,3.993239,2.471036,3.5298485
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.110086,4.487772,5.185963,2.632696,3.85412925
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.854474,4.32118,3.259916,2.90249,3.584515
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.356827,3.882964,2.688365,2.471036,3.099798
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.479522,3.663338,2.688365,2.617737,3.1122405
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.377616,5.11901,5.241743,4.016616,4.68874625
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.20168,4.745204,3.395154,2.471036,3.4532685
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.816533,3.882964,3.730895,2.93056,3.590238
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.233726,4.766943,3.896195,2.90249,3.9498385
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.291545,4.294673,3.893901,2.90249,3.84565225
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.110086,3.938467,4.092361,2.471036,3.4029875
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.827485,4.67642,6.47037,4.344328,5.07965075
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.110086,3.901644,2.688365,2.471036,3.04278275
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.886018,4.745204,3.239662,2.375133,3.56150425
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.854474,4.161092,4.584671,2.743931,3.836042
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.632529,3.591626,2.236067,2.92407225
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.400392,4.745204,3.521016,2.90249,3.8922755
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.050227,4.165616,3.181856,2.471036,3.21718375
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.822576,3.986877,3.521016,2.471036,3.45037625
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.193434,3.287071,3.20147,2.236067,2.9795105
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.554094,3.958994,3.557695,2.51087,3.39541325
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.110086,3.882964,3.20147,2.90249,3.2742525
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,3.148113,2.688365,2.471036,3.03101175
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.866484,3.24015,3.605308,2.471036,3.2957445
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.837233,4.28668,3.285024,2.525034,3.48349275
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.871431,4.879374,5.036122,2.90249,4.42235425
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.602058,5.600551,4.76039,2.606772,4.39244275
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.854474,4.566051,3.998925,2.952178,3.842907
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,5.438766,3.523999,2.990367,3.94241625
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.882219,5.191221,4.349287,3.411171,4.2084745
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.728269,4.495041,3.660397,2.471036,3.58868575
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.191998,4.515048,3.550816,2.879906,3.534442
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.816533,5.198088,3.645249,2.471036,3.7827265
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.027139,5.136966,3.507659,2.90249,3.8935635
