"","sample","tissue","endometriosis","severity","p244699_at","p221569_at","AHI1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.905169,7.925387,7.415278
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.359602,7.553522,6.456562
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.508991,7.026418,6.7677045
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.139543,7.674253,6.406898
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.05245,7.703083,6.8777665
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.318941,7.881554,7.1002475
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,6.68659,5.730161
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.772846,8.167594,6.97022
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.938818,7.784375,6.3615965
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.625377,7.404046,7.0147115
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.355565,7.785015,7.07029
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.064255,7.920904,7.4925795
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.093894,7.108937,7.1014155
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.491898,8.395089,7.4434935
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.461433,7.773543,7.117488
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.794294,7.553522,6.673908
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.910851,7.445217,6.678034
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.922011,7.777558,7.3497845
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.569237,7.337358,6.9532975
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.817264,5.295498
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,6.128783,5.4512575
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.208148,4.726537,4.4673425
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.782213,6.702463,5.742338
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,4.284876,4.529304
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,4.992986,4.883359
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.208148,6.727684,5.467916
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,5.682362,5.228047
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.015546,5.894639
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.597003,6.1853675
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.628661,5.488865,4.558763
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.208148,4.284876,4.246512
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,6.56022,5.666976
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.92435,5.349041
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.77876,5.276246
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.765753,6.2697425
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.756524,5.265128
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.030494,6.240273,5.6353835
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,7.527087,6.1504095
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.912513,5.3431225
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,6.003451,5.3885915
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.587421,6.209124,5.8982725
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.208148,5.257258,4.732703
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,5.993438,5.383585
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.287879,6.0308055
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,4.390344,4.582038
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.797055,7.553522,6.6752885
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,6.764897,5.7693145
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,4.832446,4.803089
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.419066,5.514299,4.9666825
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.520687,5.1472095
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,5.053203,4.9134675
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,4.834386,4.804059
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,7.395127,6.0844295
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,5.794138,5.283935
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,8.080474,6.427103
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,7.706662,6.240197
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.606979,6.1903555
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.806846,7.81166,6.309253
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.915037,8.079564,5.9973005
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.296634,7.160988,5.728811
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.773732,6.56629,5.670011
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.218597,7.125755,5.672176
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.036466,7.87596,6.456213
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.731918,8.383263,6.5575905
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,8.43598,6.604856
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.889008,7.736349,6.3126785
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.773732,7.043949,5.9088405
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,7.675338,6.224535
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.63582,8.379761,6.5077905
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.230642,8.553281,7.3919615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.349609,7.952783,6.151196
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,8.030716,6.402224
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,7.816482,6.295107
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.849982,8.482009,7.1659955
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,7.966063,6.3698975
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.276554,7.931342,6.103948
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773732,7.614793,6.1942625
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.591506,7.24362,5.417563
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.189351,7.826187,6.007769
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.008571,8.17262,6.5905955
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.016081,7.86472,5.9404005
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.208148,7.559353,5.8837505
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.536113,5.6549225
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.581637,6.1776845
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.553522,6.163627
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.43403,6.280289,5.3571595
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,5.861193,5.3174625
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,5.282092,5.027912
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.793743,6.2837375
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.208148,5.820569,5.0143585
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.042821,5.4082765
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,7.510791,6.1422615
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,5.115211,4.9444715
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.529163,7.48508,6.5071215
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773732,6.712325,5.7430285
