"","sample","tissue","endometriosis","severity","p202138_x_at","p209971_x_at","AIMP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.651985,10.015392,9.8336885
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.734267,9.996275,9.865271
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.318031,8.964947,8.641489
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.161799,9.470237,9.316018
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.078834,9.590956,9.334895
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.605637,9.796399,9.701018
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.387782,9.480803,9.4342925
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.25002,9.371145,9.3105825
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.404508,9.726785,9.5656465
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.348662,9.718659,9.5336605
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.1796,9.512007,9.3458035
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.030252,9.299047,9.1646495
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.860526,9.148619,9.0045725
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.287972,9.519102,9.403537
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.680862,10.015662,9.848262
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.994627,9.404557,9.199592
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.531795,9.845361,9.688578
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.494303,10.015662,9.7549825
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.245462,9.777315,9.5113885
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.3444,10.525002,10.434701
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.94171,11.239245,11.0904775
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.304079,10.480035,10.392057
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.005036,9.108464,9.05675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.785931,11.023201,10.904566
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.76472,10.029428,9.897074
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.952,10.015662,9.983831
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.536154,9.631696,9.583925
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.054321,10.085123,10.069722
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.943302,10.154202,10.048752
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.123873,10.411602,10.2677375
