"","sample","tissue","endometriosis","severity","p219993_at","p230943_at","SOX17"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.862433,12.088392,11.9754125
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.589097,11.193399,11.391248
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.711367,10.266298,10.4888325
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.171773,7.831635,8.501704
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.959856,10.844116,10.901986
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.367696,7.806325,8.0870105
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.674767,6.052551,6.863659
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.668865,10.370631,10.519748
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.951423,11.646282,11.2988525
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.494595,7.457794,7.9761945
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.227229,11.6076,11.4174145
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.778044,11.510025,11.6440345
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.359565,9.349086,8.8543255
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.528674,11.100297,10.8144855
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.851552,11.144373,10.9979625
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.636408,7.714524,7.675466
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.640079,7.363006,7.5015425
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.132304,9.752001,9.9421525
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.034738,6.727556,6.881147
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.130439,8.569945,9.350192
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.87388,12.156018,12.514949
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.874254,8.960584,9.417419
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.169557,8.596102,8.8828295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.718506,8.974604,9.846555
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.508744,9.78223,10.145487
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.100462,12.541305,12.8208835
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.636427,11.18897,11.9126985
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.171852,12.740258,12.956055
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.748286,11.58034,11.664313
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.719023,12.469434,12.5942285
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.756541,11.730761,12.243651
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.239232,13.050286,13.144759
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.761815,11.550331,12.156073
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.77171,11.872136,12.321923
