"","sample","tissue","endometriosis","severity","p217867_x_at","p222446_s_at","p227051_at","BACE2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.619963,8.593313,4.139526,6.78426733333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.56118,8.680654,2.962877,6.73490366666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.522807,7.893051,4.543485,6.65311433333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.442372,10.787641,8.833011,10.3543413333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.685464,8.401452,4.619727,6.90221433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.196829,9.763295,6.504049,8.821391
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.023649,10.179194,5.005723,8.40285533333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.873298,9.022436,4.241926,7.04588666666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.92461,8.540635,4.527795,6.99768
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.9241,9.651436,7.057807,8.877781
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.137788,8.537901,4.592934,6.75620766666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.08284,8.486603,5.005723,7.191722
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.311188,10.049423,6.933862,9.09815766666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.560758,9.088323,5.442743,7.36394133333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.29826,8.448895,4.531221,6.75945866666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.890836,10.720589,8.55477,10.0553983333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.739174,10.805424,8.314178,9.95292533333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.582228,9.343614,6.777324,8.567722
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.095232,8.738958,6.562447,8.13221233333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.046649,11.272531,6.359116,9.89276533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.597133,9.939634,3.792907,8.10989133333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.881145,11.209188,8.162181,10.4175046666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.666989,10.744231,6.901733,9.77098433333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.881781,10.491895,6.111424,9.1617
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.062826,12.099076,6.939843,10.7005816666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.269264,10.475145,4.805134,8.84984766666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.294072,9.419223,2.917791,7.54369533333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.708929,10.194406,4.168533,8.35728933333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.37303,10.869837,4.962283,9.06838333333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.576749,10.386004,4.205626,8.38945966666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.258599,9.499412,3.589395,7.78246866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.831869,10.564488,5.005723,8.80069333333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.353398,9.537879,3.234316,7.708531
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.631859,9.522665,3.65405,7.93619133333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.503434,10.223562,5.886483,8.87115966666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.47536,11.385356,7.209597,10.356771
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.017639,10.252698,4.782743,8.68436
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.849569,10.605806,5.016013,8.823796
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.165965,10.008766,4.733969,8.3029
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.528173,11.395273,6.765529,10.2296583333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.451959,9.889895,5.005723,8.44919233333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.042373,10.528085,5.355585,8.97534766666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.040034,10.800381,5.005723,8.94871266666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.149997,10.421864,6.368342,9.313401
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.800425,11.881248,7.883263,10.8549786666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.081255,9.785337,4.465202,8.110598
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.724158,10.477366,4.959889,8.720471
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.300663,11.198001,7.908256,10.4689733333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.266077,11.602342,5.005723,9.624714
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.686887,9.739169,4.249708,8.22525466666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.321291,9.994315,3.589395,7.96833366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.805276,10.413803,5.310514,9.176531
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.594037,10.76165,5.997274,9.450987
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.227157,10.706312,5.005723,8.97973066666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.724194,10.314547,5.005723,8.681488
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.00684,9.852366,6.088969,8.64939166666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.953455,9.928991,5.005723,8.62938966666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.853656,10.618139,7.024565,9.83212
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.963211,10.479236,7.801282,9.74790966666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.518842,11.048144,4.989256,9.185414
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.806081,10.268941,4.729687,8.60156966666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.426811,10.821516,7.578996,9.942441
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.470694,10.788818,7.557236,9.938916
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.337703,9.95932,6.264277,8.85376666666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.395489,9.926859,4.749189,8.357179
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.760536,10.101981,4.687164,8.51656033333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.510443,10.07315,4.98136,8.521651
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.326647,9.672323,6.875659,8.62487633333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.472923,9.317981,6.305467,8.365457
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.863843,9.702162,7.62734,9.06444833333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.574112,9.479869,6.865808,8.63992966666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.814851,10.582967,7.300909,9.56624233333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.661322,9.207658,6.843693,8.570891
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.568308,9.469832,6.634283,8.55747433333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.562934,9.453522,5.961179,8.32587833333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.382341,11.010014,8.225833,10.2060626666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.498066,9.68101,6.33109,8.50338866666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.264453,10.841868,9.422045,10.5094553333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.976986,9.896359,7.928628,9.26732433333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.395101,10.981543,6.761384,9.712676
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.318919,10.490872,7.943151,9.584314
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.545173,9.718274,6.699935,8.65446066666667
