"","sample","tissue","endometriosis","severity","p234405_s_at","p231812_x_at","PHAX"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.455472,6.017476,6.236474
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.842383,6.119566,5.9809745
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.225198,7.388297,6.3067475
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.067378,6.333338,6.200358
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.450317,6.499381,6.474849
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.18195,6.964506,6.573228
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.173366,6.647272,5.910319
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.362496,6.088523,5.7255095
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.067378,6.393214,6.230296
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.794795,6.088523,6.441659
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.416345,6.424467,6.420406
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.267054,6.187376,6.227215
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.461496,5.953325,5.7074105
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.346545,6.302957,6.324751
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.442426,6.674148,6.558287
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.686743,5.693493,6.190118
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.128728,5.52367,5.826199
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.383051,6.475636,6.4293435
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.242443,6.088523,6.665483
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.217343,6.461492,6.3394175
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.022361,6.009924,6.0161425
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.224753,6.227323,6.226038
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224753,6.521241,6.372997
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.846535,5.519022,4.6827785
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.627479,6.481672,6.0545755
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.845626,6.371955,5.1087905
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.288627,6.072002,5.6803145
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.244513,6.362131,6.303322
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.534063,6.128099,5.331081
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.707805,5.904262,5.3060335
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.84534,6.893758,6.369549
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.104974,6.475816,6.290395
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.883541,6.543449,5.213495
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.820007,5.634851,4.727429
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.161869,6.767443,6.964656
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.287515,6.286375,5.786945
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.206419,6.550405,6.378412
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.236631,6.135209,6.18592
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.067378,6.43707,6.252224
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.306595,6.261899,5.784247
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.952165,6.53433,6.7432475
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.587449,5.457917,5.022683
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.994701,6.255585,6.125143
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.067378,6.153621,6.1104995
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.974648,6.181515,6.0780815
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.579163,6.73587,6.6575165
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.47063,5.610317,5.0404735
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.346545,6.596212,6.4713785
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.853477,6.47933,6.1664035
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.565719,6.088523,5.827121
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.972375,6.088523,5.530449
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.986585,6.255585,5.621085
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.450132,5.644255,5.5471935
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.344496,6.284035,6.3142655
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.942086,7.018798,6.480442
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.404669,6.387755,6.396212
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.583058,6.248557,5.9158075
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.240429,6.204701,6.222565
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.701179,6.469457,6.585318
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.901227,5.867492,5.8843595
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.732385,5.705091,5.718738
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.1,5.970052,6.035026
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.346545,6.278681,6.312613
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.429292,6.34222,6.385756
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.392526,6.392687,6.8926065
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.067378,6.264347,6.1658625
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.224753,6.309252,6.2670025
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.321661,7.860176,8.0909185
