"","sample","tissue","endometriosis","severity","p208152_s_at","p224654_at","DDX21"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.303163,10.416582,9.3598725
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.52636,9.964529,10.2454445
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.904585,10.063522,8.9840535
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.656537,10.85755,9.7570435
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.521969,10.819127,10.170548
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.542139,10.821814,9.6819765
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.612649,10.14753,8.8800895
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.101075,9.569762,9.8354185
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.491141,9.675317,10.083229
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.513786,10.606077,9.5599315
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.173887,10.302176,10.7380315
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.855641,10.231147,10.543394
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.072292,10.586804,10.829548
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.593932,10.999195,9.2965635
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.372105,10.677274,9.0246895
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.783475,10.685624,9.2345495
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.830805,11.381499,10.106152
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.963162,11.363131,10.6631465
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.786593,11.269452,10.5280225
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.98459,9.605648,9.295119
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.517476,9.677325,9.5974005
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.117116,9.739616,9.428366
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.863482,10.224588,10.044035
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.684102,9.948061,9.8160815
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.953058,9.308348,8.630703
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.723399,9.464865,8.094132
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.986434,8.769352,7.877893
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.836017,10.072167,9.954092
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.916501,9.553465,8.734983
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.212673,9.570283,8.891478
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.216787,9.768279,9.492533
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.279858,10.1289,9.704379
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.497044,8.318096,7.40757
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.038774,8.462887,7.7508305
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.09483,10.422724,10.258777
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.643761,9.202316,8.9230385
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.778113,9.230393,8.504253
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.981743,10.250093,10.115918
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.113644,9.5179,8.815772
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.934653,9.948061,8.941357
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.461892,11.295473,10.8786825
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.669484,9.373969,9.0217265
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.340253,9.388923,8.364588
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.896826,10.583469,10.7401475
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.03275,9.490897,8.7618235
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.972663,9.846945,9.409804
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.926847,9.238498,8.0826725
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.543704,10.495473,10.0195885
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.754633,9.593298,9.1739655
