"","sample","tissue","endometriosis","severity","p221532_s_at","p221531_at","p232075_at","WDR61"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.17481,9.149094,7.060127,8.794677
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.60983,9.343463,6.700808,8.88470033333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.64672,8.4858,6.588369,8.24029633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.71781,8.352919,6.481253,8.183994
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.763921,10.355533,6.598573,9.23934233333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.814782,8.925802,6.600129,8.44690433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.396229,7.803896,6.097754,7.76595966666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.379037,9.04167,6.964062,8.794923
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.308547,9.448282,7.07072,8.94251633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.149834,9.583579,6.662099,8.798504
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.615995,9.958483,7.177264,9.25058066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.720838,10.111083,6.615307,9.149076
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.082794,6.971727,6.481253,7.51192466666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.577504,9.907457,7.41138,9.29878033333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.657716,9.548783,7.019702,9.07540033333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.962287,9.288154,6.481253,8.57723133333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.097469,8.913127,6.804204,8.60493333333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.842739,9.040649,6.982103,8.62183033333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.978786,9.333507,6.562901,8.62506466666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.987711,7.295,5.893492,7.39206766666667
