"","sample","tissue","endometriosis","severity","p204178_s_at","p239635_at","RBM14"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.540279,3.312005,5.426142
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012352,3.141286,5.576819
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.565515,3.092184,4.8288495
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.244781,3.119498,5.1821395
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.5987,3.092184,5.345442
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.294412,3.092184,5.693298
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56332,3.565168,5.064244
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.290245,3.119498,5.7048715
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.188794,3.117552,5.153173
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.91104,3.092184,5.501612
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.555939,3.152339,5.354139
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.34307,3.090433,5.2167515
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.762485,3.451338,5.1069115
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.455532,3.565168,6.01035
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.117027,3.563223,5.840125
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.848845,3.092184,5.4705145
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.690778,3.565168,5.627973
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.107483,3.090433,5.098958
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.483429,3.092184,5.2878065
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.499145,6.57936,8.0392525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.684822,6.14876,7.916791
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.555531,6.437469,7.9965
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.720292,5.520663,7.1204775
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.399437,4.801953,7.600695
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.852498,7.089999,8.4712485
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.289018,5.826937,8.0579775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.919601,5.093977,7.506789
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.893751,6.326671,8.110211
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.325167,5.78821,7.5566885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.406314,8.26156,9.333937
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.619218,5.895667,8.2574425
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.812831,6.363513,8.088172
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.26303,6.30775,8.28539
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.20789,5.292751,7.7503205
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.893473,5.163487,7.02848
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.214843,4.255279,7.235061
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.690233,6.946141,8.318187
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.706193,6.336182,7.5211875
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.761004,6.475093,8.1180485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.671405,6.451952,8.0616785
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.247738,7.488215,8.3679765
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.015229,4.06379,7.0395095
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.158117,6.751809,7.954963
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.656295,5.010315,6.833305
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.746206,6.139598,7.942902
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.158022,5.866587,7.5123045
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.420204,5.422373,7.9212885
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.435835,6.101778,7.7688065
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.381525,6.759624,8.0705745
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.408128,5.731771,7.5699495
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.765033,5.637037,7.701035
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.579348,5.699123,7.6392355
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.854397,5.612933,7.733665
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.1892,7.597179,8.8931895
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.93723,6.911778,8.424504
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.801361,5.357572,6.5794665
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.767723,5.833486,7.8006045
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.312432,5.484297,7.3983645
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768918,5.817728,7.293323
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.492537,6.340675,7.916606
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.562425,5.032847,7.297636
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.398451,3.120069,6.25926
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.265884,6.007976,7.63693
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.637195,3.834796,6.2359955
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.503445,6.760082,7.6317635
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.852327,7.195456,8.5238915
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.760091,3.580622,6.6703565
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.429538,4.104389,6.2669635
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.217338,3.090433,5.6538855
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.430339,3.827201,6.12877
