"","sample","tissue","endometriosis","severity","p200976_s_at","p213786_at","TAX1BP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.803481,9.146612,9.4750465
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.702074,6.935227,8.3186505
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.040062,6.735619,8.3878405
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.091932,8.182988,9.13746
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.794262,8.36868,9.081471
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.688264,7.441788,8.565026
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.496776,7.487145,8.9919605
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.995627,6.605547,8.300587
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.7003,7.746236,8.723268
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.841124,8.612252,9.226688
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.309818,8.94402,9.626919
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.821583,9.405558,9.6135705
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.200837,7.467615,8.834226
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.59928,8.109245,8.8542625
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.174222,8.91158,9.542901
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.174268,8.95422,9.564244
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.795083,8.807804,9.8014435
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.47028,8.903841,9.6870605
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.354373,9.80223,9.5783015
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.625576,6.547161,8.0863685
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.266252,6.608315,7.9372835
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.71334,6.252742,7.483041
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.778074,6.013974,7.896024
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.641345,5.800922,7.2211335
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.699061,6.418362,7.5587115
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.042143,6.547161,7.294652
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.356762,5.800922,7.078842
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.299991,7.458262,8.8791265
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71687,7.1029,7.909885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.100309,6.438551,7.26943
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.782437,6.547161,7.664799
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.652272,6.731764,8.192018
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.376521,5.957726,6.6671235
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.709445,5.300884,6.5051645
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.696436,8.227223,9.4618295
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.909671,6.728856,7.8192635
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.651685,6.371897,7.511791
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.235767,6.972078,8.6039225
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.89162,6.266426,7.579023
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.16773,5.952059,7.0598945
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.045487,7.441788,8.7436375
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.94476,5.800922,6.872841
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.554589,6.547161,7.550875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.969013,7.209362,8.5891875
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.213566,6.547161,7.3803635
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.52766,7.078278,8.302969
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.563139,6.243971,6.903555
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.123027,6.547161,7.835094
