"","sample","tissue","endometriosis","severity","p208132_x_at","p212081_x_at","p214201_x_at","PRRC2A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.290739,8.524986,8.427803,8.41450933333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.845295,8.293313,8.443232,8.52728
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.250422,7.69029,7.958133,7.96628166666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.845295,8.699988,8.854813,8.800032
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.681529,8.956858,8.360164,8.66618366666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.446022,8.437348,7.59489,8.15942
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.648801,8.357958,7.724606,8.24378833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.845295,8.112632,8.252607,8.40351133333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.748302,8.193522,8.882137,8.607987
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.766328,7.761251,7.787209,7.771596
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.373772,8.330936,8.042154,8.248954
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.975283,8.343016,8.28271,8.20033633333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.396148,8.040409,9.035244,8.49060033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.502489,8.956858,8.098947,8.51943133333334
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.31003,8.554283,8.49671,8.45367433333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.203465,8.914832,8.152576,8.42362433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.26187,8.357443,8.230484,8.28326566666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.4716,8.231252,7.784348,8.1624
