"","sample","tissue","endometriosis","severity","p203265_s_at","p203266_s_at","MAP2K4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.298651,8.954127,7.126389
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.453881,7.854712,6.6542965
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.007731,7.666601,5.837166
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.715325,7.056227,6.385776
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.470946,8.017023,7.2439845
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.715429,7.474193,6.094811
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.779862,6.914436,5.347149
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.08881,7.957096,6.522953
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.477259,8.048226,6.7627425
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.661222,7.29137,6.476296
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.245121,7.860217,7.052669
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.837831,7.860217,6.849024
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.102223,6.999577,6.0509
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.534134,7.860217,6.1971755
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.583423,8.477693,7.030558
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.283016,7.860217,6.5716165
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.345402,8.238922,6.792162
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.981714,7.970014,6.975864
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.711422,7.860217,6.2858195
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.983673,6.874055,5.428864
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.286826,7.610867,5.9488465
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.387522,6.849022,5.618272
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.007731,6.999577,5.503654
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.149263,6.902211,5.525737
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.002301,5.898901,4.450601
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.170943,5.892842,5.0318925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.779862,6.671267,5.2255645
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.924072,7.860217,5.8921445
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.091008,6.847965,5.4694865
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.93922,6.233924,5.086572
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.007731,6.669621,5.338676
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.779862,7.150522,5.465192
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.936867,5.191088,4.0639775
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.909199,5.519839,4.714519
