"","sample","tissue","endometriosis","severity","p205887_x_at","p210947_s_at","MSH3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.262695,5.569979,6.916337
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,6.029427,6.8339705
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.716217,6.264889,6.990553
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.818573,5.687489,6.753031
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.020108,6.711207,7.3656575
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.722848,5.365042,6.543945
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,5.365042,6.501778
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.994181,6.029688,7.0119345
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.955768,5.612431,6.7840995
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.776173,5.365042,6.5706075
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.574298,5.931433,7.2528655
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.383697,6.53905,7.4613735
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.672514,5.365042,6.518778
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.820535,6.522654,7.6715945
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.314929,6.75314,7.5340345
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.159983,5.86768,7.0138315
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.823746,5.352826,6.588286
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.518896,6.0543,7.286598
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.359166,5.365042,6.862104
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.413649,3.456885,5.435267
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.443186,5.443991,6.4435885
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.316932,3.705729,5.5113305
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.919031,4.114977,6.017004
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.794078,4.1518,5.472939
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.340353,3.517652,5.4290025
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.58536,4.1518,5.86858
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,4.1518,5.895157
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.198466,4.878962,6.038714
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.105913,4.112672,5.6092925
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.152943,3.223869,5.188406
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.218129,3.266519,5.242324
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.558274,4.1518,5.355037
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.945124,4.937053,5.9410885
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.048854,3.255053,5.1519535
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.634407,6.168667,6.901537
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.873814,4.1518,5.512807
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.760658,4.411612,6.086135
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.636983,5.958785,6.797884
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.514305,3.768147,5.641226
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.638514,4.231448,5.934981
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.691587,4.367404,6.0294955
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.987448,4.1518,5.569624
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,4.1518,5.895157
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,5.354523,6.4965185
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.04671,4.1518,5.599255
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.70988,4.965504,6.337692
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.788678,4.1518,5.470239
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.49617,3.477956,5.487063
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,4.458543,6.0485285
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.536363,4.1518,5.8440815
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,4.688174,6.163344
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.303909,3.593036,5.4484725
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.243063,4.1518,5.6974315
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.389289,4.492088,5.9406885
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.97349,4.012532,5.493011
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.638514,5.698379,6.6684465
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,4.478355,6.0584345
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.331178,5.254427,6.2928025
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.387045,5.938749,6.662897
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,5.365042,6.501778
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.036681,3.915298,5.4759895
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.957068,5.73265,6.344859
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.410007,4.772358,6.0911825
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,5.978293,6.8084035
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638514,5.809304,6.723909
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.307941,3.696183,5.502062
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.491877,5.486483,5.98918
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.059977,7.149178,7.6045775
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.891195,6.767946,7.3295705
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,6.270946,6.95473
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,6.855893,7.2472035
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.783163,6.276729,7.029946
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.93391,6.699155,7.3165325
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.917602,6.690261,7.3039315
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.199274,6.838332,7.518803
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,6.404489,7.0215015
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.108411,6.89388,7.5011455
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392029,6.780371,7.5862
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.120425,6.94296,7.5316925
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.036708,6.609742,7.323225
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.666666,7.586685,8.1266755
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.678273,6.67036,7.1743165
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.713679,5.31726,6.0154695
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.590384,6.180966,6.885675
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.207399,5.606763,6.407081
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.211882,4.261055,5.7364685
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.361471,4.316654,5.8390625
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.205565,3.808772,5.5071685
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.652233,5.372373,6.512303
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.911173,4.706222,5.8086975
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.552306,5.398663,6.4754845
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,4.1518,5.895157
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.379304,4.1518,5.765552
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.787695,4.905907,5.846801
