"","sample","tissue","endometriosis","severity","p44146_at","p222251_s_at","GMEB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.259504,5.989769,6.1246365
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.852075,5.192892,6.0224835
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.752964,4.237658,4.995311
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.11425,6.073097,6.5936735
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.243582,5.248326,5.745954
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.260571,5.990033,6.125302
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02462,5.135259,5.5799395
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.572883,6.043517,6.3082
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611241,5.750919,6.18108
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.148699,5.42125,5.7849745
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.700203,5.436741,5.568472
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.479834,5.608909,5.5443715
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.749943,6.421923,6.585933
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.631295,6.507754,6.5695245
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.60426,6.386129,6.4951945
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548793,6.192977,6.370885
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.793904,6.140937,6.4674205
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.621871,5.342221,5.482046
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.418809,5.878496,6.1486525
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.314274,8.484383,8.8993285
