"","sample","tissue","endometriosis","severity","p203666_at","p209687_at","CXCL12"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.147679,8.413388,6.7805335
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.922125,7.133583,6.027854
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.34356,10.938965,9.1412625
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.868463,9.104486,7.9864745
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.292798,10.699392,8.996095
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.031688,9.569665,8.3006765
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.922528,10.150858,9.036693
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.280734,10.941883,9.6113085
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.478353,9.202421,7.840387
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.531249,9.969196,8.2502225
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.435656,11.324332,9.879994
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.642786,10.507087,8.5749365
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.594245,7.80059,6.6974175
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.320624,10.683827,9.0022255
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548398,9.653014,8.100706
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.974808,10.335534,9.155171
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.90616,10.759928,9.333044
